#PKG,RTYPE,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
PAC,,tex-gyre-fonts, "is PostScript fonts [Font]"
PAC,,ttf-font-awesome, "is Iconic font [Font]"
PAC,,unrar,"extracts rar's."
PAC,,unzip,"unzips zips."
PAC,,xcape,"gives the special escape/super mappings ."
PAC,,xclip,"allows for copying and pasting from the command line."
PAC,,xcompmgr,"is for transparency and removing screen-tearing."
PAC,,xdotool,"provides window action utilities on the command line."
PAC,,xorg-server,"is the graphical server."
PAC,,xorg-xbacklight,"enables changing screen brightness levels."
PAC,,xorg-xdpyinfo,"aids with resolution determination and screen recording."
PAC,,xorg-xinit, "starts the graphical server."
PAC,,xorg-xwininfo,"allows querying information about windows."
PAC,,xsel,"allows for copying and pasting from the command line."
PAC,,xwallpaper,"sets the wallpaper."
PAC,,zathura,"is a pdf viewer with vim-like bindings. [Media]"
PAC,,zathura-pdf-mupdf,"allows mupdf pdf,ePub,OpenXPS compatibility in zathura."
PAC,FMBH,openssh, "ssh client"
PAC,M,android-tools, "is Wrapper Android SDK ADB"
PAC,M,calcurse, "is Minimalist calendar application"
PAC,M,dictd, " CLI Dictionary"
PAC,M,gvfs, "Extensions pcmanfm "
PAC,M,gvfs-afc," Extensions pcmanfm"
PAC,M,gvfs-google, "Extensions pcmanfm"
PAC,M,gvfs-gphoto2, "Extensions pcmanfm"
PAC,M,gvfs-mtp, "Extension pcmanfm"
PAC,M,imagemagick, "is an Image Editor"
PAC,M,lazygit, "is git TUI"
PAC,M,newsboat,"is a terminal RSS client."
PAC,M,npm, "is a Package manager for Javascripts [Dev]"
PAC,M,pass, "Extensible Password Manager Unix"
PAC,M,pcmanfm-gtk3, "GUI File manager"
PAC,M,slock,"allows you to lock your computer, and quickly unlock with your password."
PAC,M,tldr, "is linux cheatsheet command"
PAC,M,tmux, "Multiplexer window"
PAC,M,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
PAC,O,acpi, "Client for Battery Power & Thermal Reading"
PAC,O,acpi_call, "Kernel module to enable calls to ACPI"
